src,dst,amount,timestamp
A001220,A000858,45125.02,2025-08-31T19:58:14.181633
A000858,A000261,43194.4,2025-08-31T19:55:25.181633
A000261,A000965,42213.16,2025-08-31T19:54:52.181633
A000965,A000521,41963.41,2025-08-31T19:50:33.181633
A000521,A000277,32271.53,2025-08-31T19:48:12.181633
A000277,A001297,34622.02,2025-08-31T19:46:39.181633
A001297,A000564,30973.23,2025-08-31T19:41:54.181633
A000564,A001220,21376.92,2025-08-31T19:38:36.181633
A000899,A000556,798.89,2025-08-01T20:58:14.181633
A001189,A000556,1261.6,2025-08-21T20:58:14.181633
A001446,A000556,1724.95,2025-08-23T20:58:14.181633
A000318,A000556,834.13,2025-08-21T20:58:14.181633
A001428,A000556,1215.98,2025-08-29T20:58:14.181633
A001322,A000556,1697.2,2025-08-01T20:58:14.181633
A000251,A000556,1329.81,2025-08-07T20:58:14.181633
A000425,A000556,1952.97,2025-08-14T20:58:14.181633
A000265,A000556,1046.34,2025-08-20T20:58:14.181633
A000393,A000556,1554.95,2025-08-07T20:58:14.181633
A001027,A000556,510.06,2025-08-04T20:58:14.181633
A001239,A000556,1195.9,2025-08-14T20:58:14.181633
A000683,A000556,681.47,2025-08-25T20:58:14.181633
A000811,A000556,921.37,2025-08-07T20:58:14.181633
A000398,A000556,1929.88,2025-08-30T20:58:14.181633
A000098,A000556,554.44,2025-08-21T20:58:14.181633
A000432,A000556,1098.89,2025-08-24T20:58:14.181633
A000758,A000556,907.72,2025-08-17T20:58:14.181633
A000032,A000556,1195.1,2025-08-21T20:58:14.181633
A000982,A000556,1087.33,2025-08-26T20:58:14.181633
A000089,A000556,1254.97,2025-08-26T20:58:14.181633
A000732,A000556,891.06,2025-08-21T20:58:14.181633
A000749,A000556,793.62,2025-08-26T20:58:14.181633
A001275,A000556,1020.98,2025-08-26T20:58:14.181633
A000250,A000556,1615.65,2025-08-10T20:58:14.181633
A000564,A000556,596.46,2025-08-09T20:58:14.181633
A000283,A000556,565.9,2025-08-06T20:58:14.181633
A001311,A000556,1498.5,2025-08-06T20:58:14.181633
A000974,A000556,877.11,2025-08-27T20:58:14.181633
A000847,A000556,715.33,2025-08-20T20:58:14.181633
A000418,A000556,1179.27,2025-08-13T20:58:14.181633
A000439,A000556,789.32,2025-08-03T20:58:14.181633
A001069,A000556,1308.1,2025-08-27T20:58:14.181633
A000374,A000556,1373.18,2025-08-30T20:58:14.181633
A001432,A000556,1315.1,2025-08-13T20:58:14.181633
A001230,A000556,655.52,2025-08-04T20:58:14.181633
A001113,A000556,1707.88,2025-08-11T20:58:14.181633
A001261,A000556,1499.07,2025-08-19T20:58:14.181633
A000479,A000556,740.17,2025-08-29T20:58:14.181633
A000741,A000556,1526.92,2025-08-24T20:58:14.181633
A001190,A000510,4832.66,2025-07-09T16:15:27.181633
A000764,A000653,2679.03,2025-01-10T03:42:08.181633
A001386,A000129,2970.4,2025-08-19T22:59:17.181633
A000536,A000120,506.3,2025-07-07T18:08:21.181633
